drawing_key,png_path,json_text_hits,vision_consensus,positive_models,negative_models,model_count
_P1_staging/110kV开关站+ABB避雷针高度计算,datas/qa_and_png/P1_oda_output/110kV开关站+ABB避雷针高度计算.png,taobao;淘宝,likely_visible_watermark,qwen2.5vl:3b,,3
_P1_staging/某医院高低压电气主接线图,datas/qa_and_png/P1_oda_output/某医院高低压电气主接线图.png,taobao;淘宝,likely_visible_watermark,qwen2.5vl:3b,,3
_P2_staging/1B1变电所低压系统,datas/qa_and_png/P2_oda_output/1B1变电所低压系统.png,图库;星欣,likely_visible_watermark,qwen2.5vl:3b,,3
_P2_staging/1B2变电所低压系统,datas/qa_and_png/P2_oda_output/1B2变电所低压系统.png,图库;星欣,likely_visible_watermark,qwen2.5vl:3b,,3
_P2_staging/35kv高压配电室电缆沟平面图,datas/qa_and_png/P2_oda_output/35kv高压配电室电缆沟平面图.png,taobao;图库;星欣;淘宝,likely_visible_watermark,qwen2.5vl:3b,,3
_P2_staging/中心变电站,datas/qa_and_png/P2_oda_output/中心变电站.png,taobao;淘宝,likely_visible_watermark,qwen2.5vl:3b,,3
_P2_staging/体育场变电所电气平面图,datas/qa_and_png/P2_oda_output/体育场变电所电气平面图.png,taobao;淘宝,single_model_not_visible,,qwen2.5vl:3b,3
_P2_staging/变电所平面布置图__473,datas/qa_and_png/P2_oda_output/变电所平面布置图__473.png,taobao;淘宝,likely_visible_watermark,qwen2.5vl:3b,,3
_P3_staging_batch4/1～3层电照系统及接线图,datas/qa_and_png/P3_oda_output/1～3层电照系统及接线图.png,图库;星欣,single_model_not_visible,,qwen2.5vl:3b,3
_P3_staging_batch4/中置柜一二次接线图,datas/qa_and_png/P3_oda_output/中置柜一二次接线图.png,图库;星欣,likely_visible_watermark,qwen2.5vl:3b,,3
_P3_staging_batch4/许继微机保护CAD图,datas/qa_and_png/P3_oda_output/许继微机保护CAD图.png,图库;星欣,likely_visible_watermark,qwen2.5vl:3b,,3
_P3_staging_batch4/铁路局机关10kV配电所电气一次图纸,datas/qa_and_png/P3_oda_output/铁路局机关10kV配电所电气一次图纸.png,图库;星欣,likely_visible_watermark,qwen2.5vl:3b,,3
